Query: 301
[112494, 5.597601]
[37799, 5.516862]
[38262, 5.442148]
[15449, 5.396774]
[31202, 5.273255]
[129643, 5.273255]
[16402, 5.245066]
[410, 5.23019]
[51927, 5.207379]
[454363, 5.201022]Query: 302
[413960, 11.618722]
[37100, 10.724597]
[487786, 8.670158]
[106300, 7.566099]
[524765, 7.134163]
[131078, 7.099915]
[18736, 6.93684]
[518439, 6.731545]
[444416, 6.642026]
[37119, 6.602862]Query: 303
[520495, 12.327408]
[441085, 12.280645]
[312398, 12.179942]
[425240, 11.986329]
[474972, 11.89416]
[415054, 11.546924]
[359816, 11.472554]
[495156, 11.451614]
[474971, 11.382517]
[517428, 11.359453]Query: 304
[182107, 11.391168]
[148459, 11.261757]
[141745, 11.243321]
[151144, 10.960524]
[150517, 10.928338]
[159738, 10.924258]
[143844, 10.780026]
[156805, 10.731934]
[163307, 10.671919]
[159739, 10.640507]Query: 305
[454225, 4.777449]
[137134, 4.668601]
[456966, 4.401416]
[433713, 4.368739]
[100995, 4.311047]
[341423, 4.302241]
[422492, 4.245361]
[410850, 4.213875]
[75857, 4.190099]
[495856, 4.181966]Query: 306
[496145, 6.739329]
[302629, 6.419081]
[57055, 6.306321]
[20006, 6.191102]
[317197, 6.148678]
[258477, 6.060647]
[6974, 5.809803]
[99444, 5.775187]
[503003, 5.757086]
[188, 5.724871]Query: 307
[85839, 6.812545]
[42331, 6.689898]
[52516, 6.678002]
[151877, 6.653028]
[2395, 6.506657]
[127856, 6.357191]
[502179, 6.340665]
[134963, 6.276138]
[184871, 6.26429]
[54174, 6.257536]Query: 308
[499127, 9.034576]
[131031, 6.786464]
[131027, 6.37817]
[131033, 6.351818]
[335447, 6.298855]
[131029, 6.275989]
[131032, 6.025521]
[149520, 5.987531]
[141320, 5.984573]
[24363, 5.853163]Query: 309
[458810, 5.742021]
[491924, 5.678931]
[523014, 5.490864]
[507497, 5.230936]
[437404, 5.194047]
[482313, 5.177005]
[484410, 5.162841]
[495042, 5.160069]
[505287, 5.153198]
[392438, 5.122363]Query: 310
[226322, 10.732366]
[433826, 8.172952]
[399698, 7.292257]
[204150, 7.168403]
[300810, 6.875313]
[202211, 6.803245]
[456166, 6.627935]
[448298, 6.569695]
[385451, 6.19166]
[385613, 6.19166]Query: 311
[385669, 6.442461]
[80767, 6.189095]
[219087, 5.949906]
[11857, 5.801389]
[350715, 5.472968]
[120309, 5.418627]
[387614, 5.414331]
[19690, 5.369653]
[273276, 5.273937]
[108159, 5.197722]Query: 312
[513307, 6.527275]
[491802, 6.272913]
[471871, 5.797121]
[6467, 3.681261]
[435718, 3.661255]
[135364, 3.472541]
[162694, 3.030035]
[257571, 2.946116]
[167420, 2.779974]
[457441, 2.716456]Query: 313
[41183, 15.065705]
[526317, 12.758051]
[101909, 12.431737]
[91322, 12.368434]
[503265, 11.792878]
[11105, 11.703925]
[409255, 11.69653]
[69594, 11.171821]
[380947, 11.098963]
[432858, 10.783293]Query: 314
[482411, 4.617643]
[448933, 4.551612]
[457150, 4.505592]
[236518, 4.462484]
[513241, 4.287394]
[525451, 4.257886]
[198554, 4.246431]
[198010, 4.242502]
[509417, 4.230077]
[138858, 4.195752]Query: 315
[158551, 7.496748]
[508525, 7.107514]
[251063, 6.798727]
[522592, 6.250067]
[513994, 6.231029]
[25738, 6.219866]
[418917, 6.143153]
[403621, 6.114724]
[169923, 6.030623]
[474013, 5.983515]Query: 316
[266599, 6.273403]
[350507, 5.585662]
[477238, 5.286188]
[300447, 5.041415]
[228047, 4.954168]
[526527, 4.512067]
[327404, 4.427658]
[277269, 3.577865]
[465817, 3.571385]
[332610, 2.788687]Query: 317
[433553, 9.584874]
[408733, 9.062581]
[440254, 9.021939]
[516889, 7.653078]
[205956, 5.982408]
[259492, 5.801013]
[265419, 5.30165]
[508407, 5.089599]
[334969, 4.597822]
[487893, 4.578742]Query: 318
[442346, 4.805456]
[295018, 3.959632]
[105598, 3.850568]
[415538, 3.701362]
[270588, 3.681203]
[357154, 3.678574]
[479012, 3.666812]
[522987, 3.641414]
[2449, 3.636637]
[319632, 3.62737]Query: 319
[181557, 4.887721]
[14570, 4.812139]
[25320, 4.805538]
[74638, 4.805538]
[53236, 4.751327]
[91424, 4.751327]
[127473, 4.685604]
[127411, 4.675501]
[169340, 4.647483]
[58239, 4.607765]Query: 320
[47065, 18.912759]
[41124, 14.11302]
[29110, 13.250351]
[166763, 13.122978]
[29154, 13.050662]
[71765, 12.892081]
[285575, 12.859676]
[29153, 12.836543]
[166769, 12.750101]
[166764, 12.464914]Query: 321
[280168, 4.858151]
[507662, 4.821342]
[306168, 4.765107]
[498344, 4.746716]
[203913, 4.724345]
[356118, 4.633763]
[262877, 4.520506]
[318635, 4.497362]
[204051, 4.463878]
[125730, 4.407294]Query: 322
[397992, 5.534026]
[449934, 5.150795]
[362334, 5.023377]
[307112, 4.619945]
[211827, 4.438016]
[425382, 4.407117]
[489313, 4.374901]
[501825, 4.316451]
[257140, 4.274449]
[290039, 4.245656]Query: 323
[435700, 8.562655]
[339751, 7.519664]
[416395, 6.603541]
[416396, 6.559717]
[411668, 6.295315]
[434869, 6.215247]
[471562, 6.052469]
[264950, 5.820196]
[112308, 5.426163]
[410431, 5.403527]Query: 324
[41431, 7.333307]
[41632, 7.075455]
[54330, 6.689076]
[41525, 6.64282]
[28759, 6.587476]
[261188, 6.558386]
[294089, 6.541865]
[317089, 6.5221]
[343378, 6.515444]
[41576, 6.500748]Query: 325
[6877, 5.354856]
[486861, 5.35261]
[418546, 5.133]
[394067, 5.125249]
[383683, 5.10443]
[383691, 5.10443]
[463769, 5.098867]
[501357, 5.041971]
[6876, 4.986396]
[260495, 4.963302]Query: 326
[385890, 7.927066]
[393583, 7.691504]
[329624, 7.680035]
[380930, 7.675304]
[380499, 7.646209]
[392814, 7.626857]
[323502, 7.531411]
[387219, 7.498444]
[233988, 7.36721]
[382331, 7.337969]Query: 327
[194049, 5.545151]
[516406, 5.457774]
[234810, 5.401661]
[461289, 5.388382]
[356057, 5.373152]
[348788, 5.210088]
[491349, 5.153626]
[127019, 5.136126]
[460136, 5.115556]
[258069, 5.003651]Query: 328
[206249, 9.725523]
[303116, 9.553866]
[495835, 8.455774]
[206000, 7.962632]
[454951, 7.615187]
[525695, 7.17467]
[377330, 6.459373]
[215047, 6.123183]
[424228, 5.325657]
[118816, 5.259674]Query: 329
[511627, 7.460282]
[525053, 7.413346]
[307960, 7.288782]
[310539, 6.837153]
[316454, 6.811895]
[527737, 6.686243]
[399705, 6.646065]
[489311, 6.503778]
[518349, 6.361328]
[318420, 6.130746]Query: 330
[27209, 8.86103]
[44174, 8.674906]
[44173, 8.644249]
[498376, 8.131811]
[27331, 8.099567]
[19399, 8.08041]
[74709, 8.018552]
[119267, 7.890495]
[7647, 7.881709]
[107300, 7.84084]Query: 331
[190827, 4.588257]
[192728, 4.415841]
[277459, 4.359929]
[297530, 4.303415]
[229752, 4.298437]
[323597, 4.24129]
[342671, 4.166957]
[286553, 4.154266]
[312780, 4.10751]
[265550, 4.076176]Query: 332
